,index
0,72
1,75
2,87
3,93
4,94
5,97
6,99
7,115
8,117
9,126
10,149
11,155
12,167
13,168
14,179
15,192
16,211
17,212
18,213
19,215
20,219
21,227
22,241
23,257
24,280
25,289
26,310
27,338
28,341
29,347
30,353
31,371
32,395
33,433
34,441
35,444
36,454
37,461
38,462
39,463
40,470
41,478
42,483
43,497
44,502
45,503
46,506
47,524
48,554
49,558
50,560
51,562
52,577
53,578
54,607
55,619
56,626
57,646
58,660
59,683
60,707
61,718
62,728
63,738
64,744
65,745
66,750
67,758
68,778
69,781
70,792
71,806
72,813
73,832
74,848
75,865
76,869
77,871
78,872
79,896
80,911
81,924
82,935
83,954
84,956
85,959
86,965
87,979
88,981
89,982
90,987
91,989
92,1002
93,1008
94,1010
95,1012
96,1018
97,1031
98,1065
99,1095
100,1113
101,1121
102,1122
103,1142
104,1147
105,1158
106,1167
107,1170
108,1189
109,1194
110,1207
111,1228
112,1230
113,1236
114,1275
115,1310
116,1350
117,1358
118,1374
119,1403
120,1445
121,1450
122,1459
123,1465
124,1474
125,1481
126,1492
127,1506
128,1516
129,1526
130,1544
131,1547
132,1553
133,1601
134,1610
135,1621
136,1624
137,1625
138,1644
139,1654
140,1658
141,1659
142,1668
143,1689
144,1704
145,1705
146,1713
147,1735
148,1751
149,1813
150,1861
151,1863
152,1878
153,1892
154,1896
155,1904
156,1954
157,1958
158,1985
159,1989
160,1999
161,2001
162,2005
163,2006
164,2017
165,2026
166,2029
167,2030
168,2036
169,2040
170,2052
171,2053
172,2066
173,2093
174,2096
175,2111
176,2118
177,2120
178,2130
179,2138
180,2166
181,2175
182,2180
183,2189
184,2195
185,2198
186,2201
187,2202
188,2203
189,2214
190,2282
191,2283
192,2288
193,2292
194,2294
195,2301
196,2304
197,2311
198,2317
199,2338
200,2357
201,2363
202,2371
203,2382
204,2396
205,2409
206,2427
207,2428
208,2429
209,2442
210,2451
211,2461
212,2507
213,2508
214,2520
215,2529
216,2531
217,2532
218,2563
219,2571
220,2581
221,2598
222,2610
223,2612
224,2613
225,2623
226,2631
227,2636
228,2638
229,2640
230,2645
231,2652
232,2666
233,2675
234,2710
235,2711
236,2732
237,2733
238,2743
239,2750
240,2768
241,2773
242,2775
243,2795
244,2804
245,2827
246,2839
247,2842
248,2852
249,2866
250,2872
251,2886
252,2895
253,2913
254,2917
255,2930
256,2951
257,2975
258,2990
259,3002
260,3014
261,3074
262,3083
263,3086
264,3108
265,3111
266,3120
267,3130
268,3131
269,3133
270,3158
271,3159
272,3165
273,3174
274,3193
275,3206
276,3213
277,3216
278,3263
279,3275
280,3290
281,3294
282,3304
283,3332
284,3339
285,3342
286,3343
287,3348
288,3352
289,3360
290,3363
291,3364
292,3381
293,3387
294,3388
295,3392
296,3396
297,3410
298,3465
299,3542
300,3545
301,3565
302,3593
303,3621
304,3623
305,3653
306,3670
307,3682
308,3689
309,3695
310,3720
311,3724
312,3725
313,3735
314,3742
315,3745
316,3749
317,3752
318,3770
319,3783
320,3797
321,3802
322,3803
323,3816
324,3832
325,3870
326,3893
327,3906
328,3919
329,3936
330,3939
331,3947
332,3954
333,3957
334,3959
335,3966
336,3971
337,3974
338,4006
339,4042
340,4067
341,4071
342,4078
343,4080
344,4083
345,4101
346,4102
347,4111
348,4126
349,4127
350,4129
351,4147
352,4165
353,4177
354,4182
355,4195
356,4209
357,4213
358,4225
359,4228
360,4238
361,4271
362,4286
363,4300
364,4316
365,4330
366,4359
367,4376
368,4384
369,4385
370,4391
371,4398
372,4406
373,4408
374,4409
375,4414
376,4416
377,4431
378,4482
379,4499
380,4501
381,4503
382,4506
383,4509
384,4514
385,4561
386,4562
387,4567
388,4576
389,4580
390,4593
391,4647
392,4663
393,4665
394,4670
395,4672
396,4676
397,4699
398,4704
399,4705
400,4707
401,4708
402,4711
403,4712
404,4722
405,4728
406,4737
407,4764
408,4769
409,4772
410,4773
411,4775
412,4789
413,4796
414,4804
415,4811
416,4820
417,4821
418,4822
419,4846
420,4858
421,4885
422,4886
423,4889
424,4892
425,4894
426,4899
427,4926
428,4952
429,4979
430,4982
431,5005
432,5034
433,5048
434,5053
435,5057
436,5065
437,5078
438,5081
439,5085
440,5102
441,5115
442,5139
443,5143
444,5146
445,5165
446,5183
447,5199
448,5216
449,5217
450,5236
451,5254
452,5255
453,5256
454,5283
455,5301
456,5303
457,5304
458,5310
459,5323
460,5327
461,5331
462,5346
463,5354
464,5366
465,5379
466,5396
467,5429
468,5436
469,5444
470,5448
471,5454
472,5456
473,5465
474,5488
475,5492
476,5496
477,5505
478,5506
479,5510
480,5512
481,5517
482,5527
483,5544
484,5545
485,5546
486,5568
487,5589
488,5599
489,5600
490,5627
491,5630
492,5642
493,5645
494,5649
495,5657
496,5675
497,5678
498,5693
499,5738
500,5753
501,5754
502,5803
503,5806
504,5810
505,5830
506,5867
507,5868
508,5875
509,5878
510,5880
511,5892
512,5895
513,5909
514,5923
515,5924
516,5959
517,5962
518,5975
519,5982
520,5987
521,5990
522,5998
523,6023
524,6042
525,6045
526,6084
527,6087
528,6101
529,6114
530,6119
531,6133
532,6151
533,6176
534,6178
535,6184
536,6188
537,6192
538,6209
539,6226
540,6250
541,6261
542,6293
543,6295
544,6324
545,6325
546,6333
547,6334
548,6341
549,6352
550,6362
551,6380
552,6399
553,6426
554,6449
555,6451
556,6452
557,6456
558,6460
559,6466
560,6475
561,6485
562,6498
563,6500
564,6506
565,6508
566,6510
567,6520
568,6525
569,6530
570,6538
571,6564
572,6577
573,6591
574,6611
575,6618
576,6620
577,6621
578,6622
579,6649
580,6659
581,6667
582,6677
583,6722
584,6751
585,6764
586,6766
587,6770
588,6778
589,6814
590,6816
591,6830
592,6831
593,6832
594,6843
595,6869
596,6874
597,6888
598,6892
599,6899
600,6904
601,6908
602,6912
603,6916
604,6930
605,6932
606,6939
607,6944
608,6953
609,6954
610,6963
611,6976
612,6978
613,6980
614,6998
615,6999
616,7010
617,7017
618,7020
619,7027
620,7029
621,7033
622,7037
623,7038
624,7046
625,7047
626,7051
627,7061
628,7070
629,7072
630,7082
631,7083
632,7093
633,7111
634,7129
635,7159
636,7162
637,7175
638,7183
639,7185
640,7188
641,7203
642,7228
643,7235
644,7240
645,7241
646,7242
647,7247
648,7276
649,7317
650,7332
651,7337
652,7341
653,7344
654,7345
655,7355
656,7359
657,7382
658,7403
659,7407
660,7423
661,7429
662,7444
663,7447
664,7469
665,7477
666,7481
667,7504
668,7522
669,7540
670,7542
671,7554
672,7570
673,7599
674,7613
675,7616
676,7620
677,7624
678,7638
679,7645
680,7649
681,7654
682,7664
683,7685
684,7691
685,7696
686,7698
687,7701
688,7724
689,7738
690,7739
691,7740
692,7745
693,7746
694,7748
695,7774
696,7794
697,7801
698,7803
699,7805
700,7824
701,7852
702,7886
703,7940
704,7942
705,7951
706,7979
707,7982
708,7992
709,8036
710,8053
711,8064
712,8078
713,8091
714,8096
715,8097
716,8098
717,8099
718,8102
719,8142
720,8151
721,8199
722,8209
723,8210
724,8224
725,8235
726,8252
727,8262
728,8274
729,8294
730,8304
731,8306
732,8318
733,8330
734,8347
735,8358
736,8365
737,8393
738,8398
739,8402
740,8413
741,8436
742,8442
743,8458
744,8459
745,8466
746,8507
747,8511
748,8519
749,8523
750,8525
751,8535
752,8539
753,8544
754,8570
755,8574
756,8585
757,8586
758,8595
759,8607
760,8620
761,8627
762,8637
763,8640
764,8667
765,8694
766,8716
767,8726
768,8745
769,8755
770,8772
771,8775
772,8785
773,8792
774,8813
775,8818
776,8824
777,8830
778,8849
779,8859
780,8860
781,8861
782,8865
783,8876
784,8880
785,8882
786,8883
787,8887
788,8899
789,8914
790,8939
791,8946
792,8983
793,8996
794,9002
795,9018
796,9019
797,9021
798,9024
799,9035
800,9047
801,9051
802,9073
803,9081
804,9094
805,9101
806,9102
807,9103
808,9105
809,9109
810,9116
811,9119
812,9130
813,9155
814,9162
815,9174
816,9198
817,9204
818,9218
819,9228
820,9232
821,9236
822,9246
823,9251
824,9254
825,9269
826,9271
827,9284
828,9285
829,9307
830,9316
831,9317
832,9322
833,9323
834,9357
835,9377
836,9381
837,9392
838,9393
839,9408
840,9412
841,9413
842,9420
843,9429
844,9436
845,9437
846,9442
847,9469
848,9470
849,9491
850,9510
851,9512
852,9518
853,9521
854,9537
855,9539
856,9544
857,9557
858,9559
859,9566
860,9573
861,9577
862,9578
863,9580
864,9589
865,9593
866,9599
867,9600
868,9609
869,9623
870,9667
871,9681
872,9695
873,9705
874,9712
875,9713
876,9740
877,9750
878,9755
879,9758
880,9760
881,9769
882,9793
883,9821
884,9825
885,9852
886,9853
887,9858
888,9873
889,9877
890,9882
891,9884
892,9901
893,9913
894,9919
895,9939
896,9940
897,9947
898,9957
899,9972
900,9973
901,9975
902,9987
903,9999
