Sex,Fur,Eyes,Eyewear,Top,Neck,Head,Mouth,Nose,Ears,Expression,Background,Music,Dance
Male,Cheetah,Mandala,Cyberpunk Glasses,Pink Jacket,FLUF Logo Chain,Flower Crown,Lollipop,Clown Nose,Santa Hat,Anger,Backalley,I Like to Party,Big Nod
Male,Smoothie,Blue,,,Tie,FLUF Cap,Lollipop,Diamond Stud,Steel Rings,Mouth Open (Left),Swamp,Space Fluffle,Subtle Nod
Male,Zombie (Black),Zombie,,,Tie,Bandana,Mooncrust Pizza,Gold Ring,Steel Rings & Studs,Mouth Open (Middle),Swamp,Hop On By,Side Nod
Male,Candy Floss,Portal,,,,Gold Cap,Party Horn,,Gold Rings & Studs,Anger,Mystic Valley,NFT (Instrumental),Groove
Male,Moody Blue,Hypnotic,Star Glasses,,,,Party Horn,Steel Stud,Gold Rings,Mouth Open (Left) + Wink,Mansion,I Love FLUF,Bob
Male,Black & White,Xs,,,Glowstick Necklace,,Tongue Out,Steel Stud,,Grin + Wink,After Party,Run Rabbit,Subtle Nod
Female,Winter,Green,Heart Glasses,Boob Tube,Bowtie (Gold),,Party Horn,Steel Ring,,Anger,After Party,Wouldn't It Be,Bob
Female,Sandy,Green,Sunglasses,Dress,,Cowboy Hat,,Bone,Steel Rings & Studs,Smile,Beach,Floating or Flying,Side To Side
Male,Tie Dye,Blue,Aviators,Gold Jacket,Tie,Flower Crown,Joint,Bull Ring,Gold Studs,Mouth Open (Right),Mystic Valley,Desert Digging,Round
Male,Darkness,Demon,Round Glasses,,FLUF Logo Chain,Army Helmet,,,Steel Rings,Blank,The Front,What the FLUF,Side To Side
Male,Sandy,Scribble,,Tie Dye Singlet,,Holographic Cap,Carrot,,,Mouth Open (Right),Lambo,Ear Wobbler,Side Nod
Male,Smoothie,Purple Rings,,,VIP lanyard,Propeller Hat,Lip Piercings,,Steel Rings,Smile + Wink,Dancing in the Shroomlight,I Like to Party,Side To Side
Male,Zebra,Reptile (White),,,Peace Necklace,Birthday Hat,Lollipop,Bull Ring,Steel Studs,Mouth Open (Left),Swamp,Electric Carrots,Subtle Nod
